,State_UT,City,SO2,NO2,PM10,PM2.5,SOi,Noi,Rpi,SPMi,AQI,AQI_Range
0,Andhra Pradesh,Amaravati,14.0,12.0,55.0,28.0,17.5,15.0,46.666666666666664,55.0,55.0,Moderate
1,Andhra Pradesh,Anatapur,7.0,16.0,64.0,30.0,8.75,20.0,50.0,64.0,64.0,Moderate
2,Andhra Pradesh,Chittor,5.0,14.0,46.0,25.0,6.25,17.5,41.666666666666664,46.0,46.0,Good
3,Andhra Pradesh,Eluru,5.0,17.0,63.0,30.0,6.25,21.25,50.0,63.0,63.0,Moderate
4,Andhra Pradesh,Guntur,5.0,17.0,60.0,29.0,6.25,21.25,48.333333333333336,60.0,60.0,Moderate
5,Andhra Pradesh,Kadapa,5.0,14.0,53.0,26.0,6.25,17.5,43.333333333333336,53.0,53.0,Moderate
6,Andhra Pradesh,Kakinada,8.0,14.0,61.0,28.0,10.0,17.5,46.666666666666664,61.0,61.0,Moderate
7,Andhra Pradesh,Kurnool,6.0,15.0,58.0,26.0,7.5,18.75,43.333333333333336,58.0,58.0,Moderate
8,Andhra Pradesh,Nellore,5.0,17.0,55.0,23.0,6.25,21.25,38.333333333333336,55.0,55.0,Moderate
9,Andhra Pradesh,Ongole,5.0,17.0,53.0,18.0,6.25,21.25,30.0,53.0,53.0,Moderate
10,Andhra Pradesh,Rajahmundry,8.0,15.0,72.0,33.0,10.0,18.75,55.0,72.0,72.0,Moderate
11,Andhra Pradesh,Srikakulam,9.0,20.0,77.0,27.0,11.25,25.0,45.0,77.0,77.0,Moderate
12,Andhra Pradesh,Tirupati,6.0,22.0,51.0,27.0,7.5,27.5,45.0,51.0,51.0,Moderate
13,Andhra Pradesh,Vijayawada,5.0,17.0,65.0,34.0,6.25,21.25,56.666666666666664,65.0,65.0,Moderate
14,Andhra Pradesh,Visakhapatnam,12.0,35.0,103.0,41.0,15.0,43.75,68.33333333333333,102.0,102.0,Poor
15,Andhra Pradesh,Vizianagaram,9.0,19.0,72.0,27.0,11.25,23.75,45.0,72.0,72.0,Moderate
16,Arunachal Pradesh,Itanagar,3.0,5.0,67.0,15.0,3.75,6.25,25.0,67.0,67.0,Moderate
17,Arunachal Pradesh,Naharlagun,27.0,6.0,54.0,15.0,33.75,7.5,25.0,54.0,54.0,Moderate
18,Assam,Bongaigaon,4.0,11.0,40.0,46.333333333333336,5.0,13.75,77.22222222222223,40.0,77.22222222222223,Moderate
19,Assam,Daranga,6.0,13.0,54.0,46.333333333333336,7.5,16.25,77.22222222222223,54.0,77.22222222222223,Moderate
20,Assam,Dibrugarh,6.0,11.0,39.0,46.333333333333336,7.5,13.75,77.22222222222223,39.0,77.22222222222223,Moderate
21,Assam,Golaghat,6.0,12.0,50.0,46.333333333333336,7.5,15.0,77.22222222222223,50.0,77.22222222222223,Moderate
22,Assam,Guwahati,26.0,11.0,114.0,60.0,32.5,13.75,100.0,109.33333333333333,109.33333333333333,Poor
