State_UT,PM2.5,PM10,SO2,NO2,AQI
Andhra Pradesh,28.25,63,7.125,17.5625,62.9375
Arunachal Pradesh,15,60.5,15,5.5,60.5
Assam,46.33333333,63.46153846,7.538461538,12.07692308,82.95726496
Bihar,66.25,129.75,7.5,19.25,132.1666667
Chandigarh (UT),49,98,6,24,98
Chattisgarh,30.5,64,7.2,12.8,64
"Dadara & Nagar Haveli
and Daman & Diu (UT)",30,84,15,20,84
Delhi (UT),107,207,10,42,256.6666667
Goa,27.9375,61.5625,6.1875,13.4375,61.5625
Gujarat,34.59091,114.9545,15.18182,20.77273,109.7576
Haryana,71.04166667,141.75,12.58333333,25.25,160.7222222
Himachal Pradesh,28.45454545,71.81818182,2.272727273,8.454545455,70.09090909
Jammu & Kashmir (UT),31.5,132.3333333,6,16.33333333,121.2222222
Jharkhand,105,155.75,21,32.125,251.75
Karnataka,25.24,53.38461538,10.88461538,15.80769231,54.42564103
Kerala,27.81818182,49.07142857,5.214285714,10.71428571,52.52813853
Madhya Pradesh,40.36842105,94,12.73684211,20.94736842,90.84210526
Maharashtra,43.4,86.92,14.72,30.52,88.2
Manipur,48,123,6,26,115.3333333
Meghalaya,11.71428571,72.14285714,5.285714286,8.428571429,66.0952381
Mizoram,19.5,33.8,2.8,5.1,38.41666667
Nagaland,33,82.5,11,5,82.5
Odisha,41.28571429,92.58823529,8,16.23529412,92.12605042
Pondicherry (UT),20,41.5,4.5,8,41.5
Punjab,53.875,94.33333333,6.694444444,15.69444444,101.3101852
Rajasthan,63,138.5,11.3,27.7,135.7333333
Sikkim,31,35.125,5.625,7,53.20833333
Tamilnadu,22.58823529,49.64705882,9.588235294,16.52941176,49.92156863
Telangana,47.71428571,77.18181818,6.636363636,35.18181818,94.62770563
Tripura,50,82,19,9,83.33333333
Uttar Pradesh,83.71428571,175.037037,13.14814815,28.25925926,183.5520282
Uttarakhand,69.2,125.6666667,16.33333333,23.16666667,144.8888889
West Bengal,56.1,97.90243902,7.073170732,28.53658537,102.4634146
