,State_UT,City,SO2,NO2,PM10,PM2.5,SOi,Noi,Rpi,SPMi,AQI,AQI_Range,,,,,,State_UT,AQI,Standardized AQI,Relative Frequency,Cumulative Frequency,Interval,Random Number,State_RD,Simulated AQI,Error,Error2,
0,Andhra Pradesh,Amaravati,14,12,55,28,17.5,15,0,55,55,Moderate,,,,,,Andhra Pradesh,62.9375,0.112352043,0.012141494,0.012141494,0-0.01,0.858793413,uttar pradesh,183.5520282,120.6145282,14547.86441,
1,Andhra Pradesh,Anatapur,7,16,64,30,8.75,20,0,64,64,Moderate,,,,,,Arunachal Pradesh,60.5,0.101183658,0.010934565,0.023076059,0.01-0.02,0.70574508,punjab,101.3101852,40.8101852,1665.471216,
2,Andhra Pradesh,Chittor,5,14,46,25,6.25,17.5,0,46,46,Good,,,,,,Assam,82.95726496,0.204080634,0.022054283,0.045130342,0.02-0.03,0.195695646,delhi,256.6666667,173.7094017,30174.95625,
3,Andhra Pradesh,Eluru,5,17,63,30,6.25,21.25,0,63,63,Moderate,,,,,,Bihar,132.1666667,0.429553265,0.046420325,0.091550667,0.03-0.08,0.161713377,delhi,256.6666667,124.5,15500.25,
4,Andhra Pradesh,Guntur,5,17,60,29,6.25,21.25,0,60,60,Moderate,,,,,,Chandigarh (UT),98,0.273004964,0.029502695,0.121053362,0.08-0.11,0.37005792,himachal pradesh,70.09090909,-27.90909091,778.9173554,
5,Andhra Pradesh,Kadapa,5,14,53,26,6.25,17.5,0,53,53,Moderate,,,,,,Chattisgarh,64,0.117220313,0.012667591,0.133720953,0.11-0.12,0.036727918,bihar,132.1666667,68.1666667,4646.694449,
6,Andhra Pradesh,Kakinada,8,14,61,28,10,17.5,0,61,61,Moderate,,,,,,"Dadara & Nagar Haveli
and Daman & Diu (UT)",84,0.208858343,0.022570593,0.156291547,0.13-0.15,0.136039229,dadar and nagar,84,0,0,
7,Andhra Pradesh,Kurnool,6,15,58,26,7.5,18.75,0,58,58,Moderate,,,,,,Delhi (UT),256.6666667,1,0.108066516,0.264358063,0.15-0.26,0.957648723,uttarakhand,144.8888889,-111.7777778,12494.27161,
8,Andhra Pradesh,Nellore,5,17,55,23,6.25,21.25,0,55,55,Moderate,,,,,,Goa,61.5625,0.106051928,0.011460662,0.275818725,0.26-0.27,0.490089037,jharkhand,251.75,190.1875,36171.28516,
10,Andhra Pradesh,Rajahmundry,8,15,72,33,10,18.75,0,72,72,Moderate,,,,,,Gujarat,109.7575741,0.32687701,0.03532446,0.311143185,0.27-0.31,0.635381456,meghalaya,66.0952381,-43.662336,1906.399585,
11,Andhra Pradesh,Srikakulam,9,20,77,27,11.25,25,0,77,77,Moderate,,,,,,Haryana,160.7222222,0.560392007,0.060559612,0.371702796,0.31-0.37,0.460149609,jharkhand,251.75,91.0277778,8286.056331,
12,Andhra Pradesh,Tirupati,6,22,51,27,7.5,27.5,0,51,51,Moderate,,,,,,Himachal Pradesh,70.09090909,0.145128258,0.015683505,0.387386302,0.37-0.38,0.656851154,mizoram,38.41666667,-31.67424242,1003.257633,
13,Andhra Pradesh,Vijayawada,5,17,65,34,6.25,21.25,0,65,65,Moderate,,,,,,Jammu & Kashmir (UT),121.2222222,0.379406898,0.041001182,0.428387483,0.38-0.42,0.320235159,Haryana,160.7222222,39.5,1560.25,
14,Andhra Pradesh,Visakhapatnam,12,35,103,41,15,43.75,0,102,102,Poor,,,,,,Jharkhand,251.75,0.977472318,0.105632028,0.534019511,0.42-0.53,0.388129089,jammu and kashmir,121.2222222,-130.5277778,17037.50078,
15,Andhra Pradesh,Vizianagaram,9,19,72,27,11.25,23.75,0,72,72,Moderate,,,,,,Karnataka,54.42564103,0.073351543,0.007926846,0.541946357,0.53-0.54,0.880650415,uttar pradesh,183.5520282,129.1263872,16673.62386,
16,Arunachal Pradesh,Itanagar,3,5,67,0,3.75,6.25,0,67,67,Moderate,,,,,,Kerala,52.52813853,0.064657374,0.006987297,0.548933654,0.54-0.56,0.361819591,Haryana,160.7222222,108.1940837,11705.95974,
17,Arunachal Pradesh,Naharlagun,27,6,54,15,33.75,7.5,0,54,54,Moderate,,,,,,Madhya Pradesh,90.84210526,0.240208195,0.025958463,0.574892117,0.56-057,0.834604702,tripura,83.33333333,-7.50877193,56.3816559,
18,Assam,Bongaigaon,4,11,40,0,5,13.75,0,40,40,Good,,,,,,Maharashtra,88.2,0.228102329,0.024650224,0.599542341,0.57-0.59,0.658146268,mizoram,38.41666667,-49.78333333,2478.380277,
19,Assam,Daranga,6,13,54,0,7.5,16.25,0,54,54,Moderate,,,,,,Manipur,115.3333333,0.352424589,0.038085298,0.637627638,0.59-0.63,0.688585984,odisha,92.12605042,-23.20728288,538.5779787,
20,Assam,Dibrugarh,6,11,39,0,7.5,13.75,0,39,39,Good,,,,,,Meghalaya,66.0952381,0.126820488,0.013705048,0.651332687,0.63-0.65,0.424663422,jharkhand,251.75,185.6547619,34467.69062,
21,Assam,Golaghat,6,12,50,0,7.5,15,0,50,50,Good,,,,,,Mizoram,38.41666667,0,0,0.651332687,0.65-0.665,0.159150469,delhi,256.6666667,218.25,47633.06251,
22,Assam,Guwahati,26,11,114,60,32.5,13.75,0,109.3333333,109.3333333,Poor,,,,,,Nagaland,82.5,0.201985491,0.021827868,0.673160555,0.665-0.67,0.222271182,delhi,256.6666667,174.1666667,30334.02779,
23,Assam,Magherita,6,11,41,0,7.5,13.75,0,41,41,Good,,,,,,Odisha,92.12605042,0.246091105,0.026594208,0.699754763,0.67-0.69,0.333378054,haryana,160.7222222,68.59617178,4705.434783,
24,Assam,Nagaon,6,14,101,0,7.5,17.5,0,100.6666667,100.6666667,Poor,,,,,,Pondicherry (UT),41.5,0.01412753,0.001526713,0.701281476,0.69-0.70,0.51470946,jharkhand,251.75,210.25,44205.0625,
25,Assam,Nalbari,6,14,92,42,7.5,17.5,0,92,92,Moderate,,,,,,Punjab,101.3101852,0.288171906,0.031141734,0.73242321,0.70-0.73,0.581878133,maharashtra,88.2,-13.1101852,171.876956,
26,Assam,North Lakhimpur,6,14,57,0,7.5,17.5,0,57,57,Moderate,,,,,,Rajasthan,135.7333333,0.44589538,0.04818636,0.78060957,0.73-0.78,0.001327131,andhra pradesh,62.9375,-72.7958333,5299.233346,
27,Assam,Silcher,8,9,46,37,10,11.25,0,46,46,Good,,,,,,Sikkim,53.20833333,0.067773959,0.007324096,0.787933666,0.78-0.785,0.498265198,jharkhand,251.75,198.5416667,39418.7934,
28,Assam,Sivasagar,6,12,47,0,7.5,15,0,47,47,Good,,,,,,Tamilnadu,49.92156863,0.052714327,0.005696654,0.79363032,0.785-0.79,0.743468844,rajasthan,135.7333333,85.81176467,7363.658956,
29,Assam,Tezpur,6,14,97,0,7.5,17.5,0,97,97,Moderate,,,,,,Telangana,94.62770563,0.257553443,0.027832903,0.821463223,0.79-0.82,0.677433538,odisha,92.12605042,-2.50165521,6.25827879,
30,Assam,Tinsukia,6,11,47,0,7.5,13.75,0,47,47,Good,,,,,,Tripura,83.33333333,0.205803742,0.022240493,0.843703716,0.82-0.84,0.461387191,jharkhand,251.75,168.4166667,28364.17361,
31,Bihar,Gaya,11,14,79,52,13.75,17.5,0,79,79,Moderate,,,,,,Uttar Pradesh,183.5520282,0.664995929,0.071863793,0.91556751,0.84-0.91,0.930362542,uttarakhand,144.8888889,-38.6631393,1494.838341,
32,Bihar,Hajipur,5,11,148,60,6.25,13.75,0,132,132,Poor,,,,,,Uttarakhand,144.8888889,0.487845234,0.052719735,0.968287244,0.91-0.96,0.903752628,uttar pradesh,183.5520282,38.6631393,1494.838341,
